"N-gram","北史","北史翻译","Total"
"开府仪同三司","95","94","189"
"给事黄门侍郎","0","45","45"
"通直散骑常侍","20","21","41"
"都督中外诸军","19","19","38"
"金紫光禄大夫","18","18","36"
"督中外诸军事","16","17","33"
"周文帝宇文泰","0","31","31"
"员外散骑侍郎","15","12","27"
"为尚书右仆射","0","26","26"
"左翊卫大将军","12","12","24"
"通直散骑侍郎","12","11","23"
"为骠骑大将军","0","23","23"
"银青光禄大夫","11","11","22"
"为尚书左仆射","0","22","22"
"大将军宇文述","10","10","20"
"齐神武帝高欢","0","19","19"
"任给事黄门侍","0","19","19"
"卫大将军宇文","9","9","18"
"员外散骑常侍","9","9","18"
"朝廷追赠他为","0","18","18"
"大冢宰宇文护","8","8","16"
"翊卫大将军宇","8","8","16"
"为开府仪同三","0","16","16"
"善于骑马射箭","0","15","15"
"为车骑大将军","0","14","14"
"任尚书右仆射","0","14","14"
"年春正月初一","0","14","14"
"被任命为尚书","0","14","14"
"南平公长孙嵩","6","7","13"
"开府仪同大将","6","6","12"
"府仪同大将军","6","6","12"
"右武卫大将军","6","6","12"
"右骁卫大将军","6","6","12"
"吏部尚书李神","6","6","12"
"州刺史的职务","0","12","12"
"兼任吏部尚书","0","12","12"
"南道行台尚书","5","6","11"
"部尚书樊子盖","5","6","11"
"左武卫大将军","6","5","11"
"除事黄门侍郎","11","0","11"
"文明太后临朝","6","5","11"
"为柱国大将军","0","11","11"
"太后临朝听政","0","11","11"
"周孝闵帝践阼","10","0","10"
"黄门侍郎裴矩","5","5","10"
"后部羽葆鼓吹","6","4","10"
"朝廷加封他为","0","10","10"
"以原来的官职","0","10","10"
"都派使者朝贡","0","10","10"
"车驾从晋阳归","0","10","10"
"驾从晋阳归来","0","10","10"
"授开府仪同三","6","3","9"
"迁事黄门侍郎","9","0","9"
"州道行军总管","5","4","9"
"赠开府仪同三","5","4","9"
"御史中尉王显","4","5","9"
"清河东武城人","5","4","9"
"封为散骑常侍","0","9","9"
"骁勇果敢之士","0","9","9"
"为给事黄门侍","0","9","9"
"进贡地方特产","0","9","9"
"二年春正月初","0","9","9"
"太上皇帝下诏","0","9","9"
"了父亲的爵位","0","9","9"
"任尚书左仆射","0","9","9"
"对左右的人说","0","9","9"
"行台慕容绍宗","4","4","8"
"上开府仪同大","4","4","8"
"内史侍郎虞世","4","4","8"
"史侍郎虞世基","4","4","8"
"吏部尚书牛弘","4","4","8"
"兵部尚书柳述","4","4","8"
"加开府仪同三","8","0","8"
"前后部羽葆鼓","5","3","8"
"部尚书李神俊","5","3","8"
"对亲近的人说","0","8","8"
"周齐王宇文宪","0","8","8"
"朝廷下诏命他","0","8","8"
"他的一个儿子","0","8","8"
"他哥哥的儿子","0","8","8"
"人们议论起来","0","8","8"
"文帝受禅即位","0","8","8"
"李业兴回答说","0","8","8"
"广宁王孝珩为","0","8","8"
"加封宇文泰为","0","8","8"
"灵太后临朝听","0","8","8"
"朝廷任命他为","0","8","8"
"位骠骑大将军","7","0","7"
"侯莫陈悦所害","6","1","7"
"周孝闵帝践祚","7","0","7"
"丞相府右长史","3","4","7"
"左卫大将军元","4","3","7"
"左骁卫大将军","3","4","7"
"迁尚书右仆射","7","0","7"
"魏孝武帝入关","3","4","7"
"周大冢宰宇文","4","3","7"
"卫将军屈突通","3","4","7"
"左屯卫大将军","4","3","7"
"梁贞阳侯萧明","3","4","7"
"平秦王高归彦","1","6","7"
"北豫州刺史高","4","3","7"
"御史中尉李彪","4","3","7"
"除尚书左仆射","7","0","7"
"听从他的意见","0","7","7"
"采纳了他的建","0","7","7"
"纳了他的建议","0","7","7"
"加封为散骑常","0","7","7"
"隋文帝杨坚任","0","7","7"
"东魏将领侯景","0","7","7"
"被朝廷任命为","0","7","7"
"家中没有多余","0","7","7"
"中没有多余的","0","7","7"
"为右光禄大夫","0","7","7"
"他因建立军功","0","7","7"
"因立功被授予","0","7","7"
"任城王高氵皆","0","7","7"
"擅长骑马射箭","0","7","7"
"使者进贡地方","0","7","7"
"令兼散骑常侍","0","7","7"
"年春正月二十","0","7","7"
"任命为尚书左","0","7","7"
"安德王高延宗","0","7","7"
"武贲郎将费青","3","3","6"
"贲郎将费青奴","3","3","6"
"岳侯莫陈悦所","6","0","6"
"授骠骑大将军","5","1","6"
"十四州诸军事","3","3","6"
"道行台尚书令","3","3","6"
"太府卿元文都","3","3","6"
"武卫将军皇甫","3","3","6"
"右翊卫大将军","3","3","6"
"十二月十五日","1","5","6"
"朝请大夫张镇","3","3","6"
"刑部尚书卫玄","3","3","6"
"都督十州诸军","3","3","6"
"督十州诸军事","3","3","6"
"太仆卿杨义臣","3","3","6"
"兵部侍郎斛斯","3","3","6"
"部侍郎斛斯政","3","3","6"
"沃野镇人破六","3","3","6"
"野镇人破六韩","3","3","6"
"镇人破六韩拔","3","3","6"
"人破六韩拔陵","3","3","6"
"司徒录事参军","3","3","6"
"姚兴遣使朝贡","6","0","6"
"尚书祠部郎中","3","3","6"
"威宗景烈皇帝","3","3","6"
"尚书左仆射杨","3","3","6"
"兵部尚书段文","3","3","6"
"部尚书段文振","3","3","6"
"右御卫将军陈","3","3","6"
"都督南征诸军","3","3","6"
"督南征诸军事","3","3","6"
"镇南大将军尉","3","3","6"
"南大将军尉元","3","3","6"
"加骠骑大将军","6","0","6"
"青州刺史沈文","3","3","6"
"州刺史沈文秀","3","3","6"
"上党王元天穆","1","5","6"
"兰陵王高长恭","1","5","6"
"侯莫陈悦害死","0","6","6"
"讨伐侯莫陈悦","0","6","6"
"封为骠骑大将","0","6","6"
"敌人打得大败","0","6","6"
"帝采纳了他的","0","6","6"
"贺拔岳被侯莫","0","6","6"
"拔岳被侯莫陈","0","6","6"
"岳被侯莫陈悦","0","6","6"
"从小聪明敏捷","0","6","6"
"封他的一个儿","0","6","6"
"的一个儿子为","0","6","6"
"周孝闵帝即位","0","6","6"
"文帝杨坚任北","0","6","6"
"帝杨坚任北周","0","6","6"
"闵帝即皇帝位","0","6","6"
"的有一百多人","0","6","6"
"事情没有成功","0","6","6"
"承父亲的爵位","0","6","6"
"喜怒不形于色","0","6","6"
"炀帝巡幸江都","0","6","6"
"文帝非常高兴","0","6","6"
"他的两个儿子","0","6","6"
"行军总管之职","0","6","6"
"太后临朝执政","0","6","6"
"后来被任命为","0","6","6"
"派使者进贡地","0","6","6"
"宇文泰派开府","0","6","6"
"的第二个儿子","0","6","6"
"王公以下官员","0","6","6"
"承袭了父亲的","0","6","6"
"命为尚书左仆","0","6","6"
"咸阳王元禧等","0","6","6"
"继承了父亲的","0","6","6"
"承了父亲的爵","0","6","6"
"被任命为中书","0","6","6"
"广宁王高孝珩","0","6","6"
"周武帝宇文邕","0","6","6"
"因建立军功被","0","6","6"
"齐文襄帝高澄","0","6","6"
"朝廷下诏恢复","0","6","6"
"神武帝高欢的","0","6","6"
"进位骠骑大将","5","0","5"
"迁尚书左仆射","5","0","5"
"御史大夫裴蕴","2","3","5"
"授通直散骑常","2","3","5"
"武帝亲总万机","5","0","5"
"户部尚书樊子","2","3","5"
"进位上大将军","5","0","5"
"加金紫光禄大","3","2","5"
"鸿胪监护丧事","4","1","5"
"将军屈突通等","2","3","5"
"赠左光禄大夫","3","2","5"
"帝诏散骑常侍","5","0","5"
"汝阴公长孙道","2","3","5"
"阴公长孙道生","2","3","5"
"平公长孙嵩等","2","3","5"
"太上皇帝晋阳","5","0","5"
"右丞相斛律光","2","3","5"
"侍中斛律孝卿","2","3","5"
"灵州刺史曹泥","2","3","5"
"纥豆陵伊利等","2","3","5"
"雍州刺史曹武","2","3","5"
"州刺史宇文胄","2","3","5"
"周将宇文神举","3","2","5"
"镇南将军崔亮","2","3","5"
"东南道行台尚","2","3","5"
"西南道大行台","2","3","5"
"同意他的意见","0","5","5"
"文官制度建立","0","5","5"
"朝廷赠封他为","0","5","5"
"骑在马上向左","0","5","5"
"在马上向左右","0","5","5"
"马上向左右两","0","5","5"
"宇文护被诛杀","0","5","5"
"他为骠骑大将","0","5","5"
"人们都称赞他","0","5","5"
"兼尚书右仆射","0","5","5"
"朝廷晋封他为","0","5","5"
"晋封爵位为公","0","5","5"
"碑歌颂他的功","0","5","5"
"歌颂他的功德","0","5","5"
"负责铨选人才","0","5","5"
"没有多余的钱","0","5","5"
"有多余的钱财","0","5","5"
"原来的官职兼","0","5","5"
"任南兖州刺史","0","5","5"
"宇文护的母亲","0","5","5"
"廷追赠他为太","0","5","5"
"采纳了他的意","0","5","5"
"纳了他的意见","0","5","5"
"继承父亲的爵","0","5","5"
"文帝十分高兴","0","5","5"
"不知道这件事","0","5","5"
"没有人能和他","0","5","5"
"武帝平定齐国","0","5","5"
"赏赐十分丰厚","0","5","5"
"炀帝非常高兴","0","5","5"
"隋文帝为丞相","0","5","5"
"的第五个儿子","0","5","5"
"到了这种地步","0","5","5"
"神武帝高欢因","0","5","5"
"等人的事迹为","0","5","5"
"拉着他的手说","0","5","5"
"任命颜之推为","0","5","5"
"尔朱世隆等人","0","5","5"
"张胄玄连日伺","0","5","5"
"胄玄连日伺望","0","5","5"
"帝拉着他的手","0","5","5"
"者进贡地方特","0","5","5"
"元年春正月初","0","5","5"
"死罪以下囚犯","0","5","5"
"帝加封宇文泰","0","5","5"
"宇文泰的儿子","0","5","5"
"中山公宇文护","0","5","5"
"不久又被任命","0","5","5"
"袭父亲的爵位","0","5","5"
"被任命为给事","0","5","5"
"出任冀州刺史","0","5","5"
"尔朱荣进入洛","0","5","5"
"朱荣进入洛阳","0","5","5"
"有关方面上奏","0","5","5"
"明元帝即位后","0","5","5"
"任西兖州刺史","0","5","5"
"兼任散骑常侍","0","5","5"
"文襄帝高澄的","0","5","5"
"北魏孝明帝正","0","5","5"
"魏孝明帝正光","0","5","5"
"有见识的人都","0","5","5"
"上表请求解除","0","5","5"
"他为开府仪同","0","5","5"
"文襄帝高澄任","0","5","5"
"帝听从了他的","0","5","5"
"朝廷下诏命李","0","5","5"
"尔朱荣与元天","0","5","5"
"朱荣与元天穆","0","5","5"
"贺拔岳的部下","0","5","5"
"武贲郎将刘长","2","2","4"
"贲郎将刘长恭","2","2","4"
"武贲郎将裴仁","2","2","4"
"贲郎将裴仁基","2","2","4"
"武阳郡丞元宝","2","2","4"
"阳郡丞元宝藏","2","2","4"
"东南道大行台","2","2","4"
"渭州人郑五丑","2","2","4"
"陈将吴明彻吕","4","0","4"
"将吴明彻吕梁","4","0","4"
"进位柱国大将","4","0","4"
"位柱国大将军","4","0","4"
"十八州诸军事","2","2","4"
"十二州诸军事","2","2","4"
"加授开府仪同","1","3","4"
"冢宰宇文护执","2","2","4"
"冯翊王元季海","2","2","4"
"凉州刺史宇文","2","2","4"
"州刺史宇文仲","2","2","4"
"十三州诸军事","2","2","4"
"进骠骑大将军","4","0","4"
"冢宰宇文护见","2","2","4"
"书侍御史梁毗","2","2","4"
"进位光禄大夫","4","0","4"
"殿中尚书长孙","2","2","4"
"梁武陵王萧纪","2","2","4"
"丞相府行参军","2","2","4"
"卫大将军元旻","4","0","4"
"光禄大夫段达","2","2","4"
"右武卫将军皇","2","2","4"
"吴州总管宇文","2","2","4"
"尚书令杨遵彦","2","2","4"
"督内外诸军事","2","2","4"
"太平公史万岁","2","2","4"
"礼部尚书杨玄","2","2","4"
"部尚书杨玄感","2","2","4"
"上元第一纪甲","2","2","4"
"元第一纪甲子","2","2","4"
"北道行台右仆","2","2","4"
"道行台右仆射","2","2","4"
"河南赞务裴弘","2","2","4"
"南赞务裴弘策","2","2","4"
"右御卫大将军","2","2","4"
"监门直阁庞玉","2","2","4"
"冢宰宇文护引","3","1","4"
"迁左光禄大夫","4","0","4"
"武卫将军屈突","2","2","4"
"武贲郎将司马","2","2","4"
"贲郎将司马德","2","2","4"
"武贲郎将元礼","2","2","4"
"内史舍人元敏","2","2","4"
"鹰扬郎将孟景","2","2","4"
"城门郎唐奉义","2","2","4"
"加中军大将军","3","1","4"
"吏部尚书卢恺","2","2","4"
"学生七十二人","1","3","4"
"中书侍郎李德","2","2","4"
"书侍郎李德林","2","2","4"
"吏部尚书宗懔","2","2","4"
"骁卫大将军屈","2","2","4"
"卫大将军屈突","2","2","4"
"大将军屈突通","2","2","4"
"平原王段孝先","2","2","4"
"计一百八十二","2","2","4"
"工部尚书宇文","2","2","4"
"部尚书宇文恺","2","2","4"
"赠车骑大将军","3","1","4"
"都督辽海诸军","2","2","4"
"督辽海诸军事","2","2","4"
"请大夫张镇州","2","2","4"
"淮阳公皮豹子","2","2","4"
"仇池镇将杨灵","2","2","4"
"池镇将杨灵珍","2","2","4"
"大都督侯莫陈","2","2","4"
"大将军豆卢宁","2","2","4"
"上党王长孙观","2","2","4"
"平阳王长孙翰","2","2","4"
"左仆射安原等","2","2","4"
"司空长孙道生","2","2","4"
"褶一具内中宛","2","2","4"
"一具内中宛具","2","2","4"
"怀朔镇将杨钧","2","2","4"
"尚书左仆射元","2","2","4"
"吏部尚书元修","2","2","4"
"部尚书元修义","2","2","4"
"吐豆登郁久闾","3","1","4"
"大人阿富提等","2","2","4"
"行台兵部尚书","2","2","4"
"始祖神元皇帝","2","2","4"
"北部大人叔孙","2","2","4"
"部大人叔孙普","2","2","4"
"大人叔孙普洛","2","2","4"
"二年春正月甲","4","0","4"
"年春正月甲寅","3","1","4"
"昌黎王慕容伯","2","2","4"
"使者巡行天下","2","2","4"
"年春正月壬辰","4","0","4"
"显祖文宣皇帝","2","2","4"
"萧绎遣使朝贡","4","0","4"
"库莫奚遣使朝","4","0","4"
"莫奚遣使朝贡","4","0","4"
"西魏废帝元年","1","3","4"
"司空侯莫陈相","2","2","4"
"豫州刺史司马","2","2","4"
"乾明元年二月","2","2","4"
"太上皇帝诏散","4","0","4"
"上皇帝诏散骑","4","0","4"
"皇帝诏散骑常","4","0","4"
"太祖献武皇帝","2","2","4"
"太上皇帝幸晋","4","0","4"
"上皇帝幸晋阳","4","0","4"
"高祖文宣皇帝","2","2","4"
"咸阳王斛律光","2","2","4"
"安定王贺拔仁","2","2","4"
"书侍御史王子","2","2","4"
"武平元年六月","2","2","4"
"南秦州刺史李","2","2","4"
"东魏陕州刺史","2","2","4"
"魏陕州刺史李","2","2","4"
"陕州刺史李徽","2","2","4"
"州刺史李徽伯","2","2","4"
"淮南道行台尚","2","2","4"
"书左仆射杨素","2","2","4"
"将作大匠宇文","2","2","4"
"作大匠宇文恺","2","2","4"
"武卫大将军李","2","2","4"
"卫大将军李景","2","2","4"
"国遣使贡方物","4","0","4"
"右屯卫大将军","2","2","4"
"伊吾吐屯设等","2","2","4"
"右候卫大将军","2","2","4"
"贼帅司马长安","2","2","4"
"民部尚书樊子","2","2","4"
"御卫将军陈棱","1","3","4"
"文明太皇太后","2","2","4"
"宣华夫人陈氏","2","2","4"
"黄门侍郎元岩","2","2","4"
"除尚书右仆射","4","0","4"
"黄门侍郎崔光","2","2","4"
"徐州刺史元法","2","2","4"
"州刺史元法僧","2","2","4"
"武兴王杨集始","2","2","4"
"部大人刘库仁","2","2","4"
"都督前锋诸军","2","2","4"
"督前锋诸军事","2","2","4"
"将军公孙表等","2","2","4"
"东郡太守申谟","2","2","4"
"寿光侯叔孙建","1","3","4"
"御史中尉元匡","2","2","4"
"二十州诸军事","2","2","4"
"尚书右外兵郎","2","2","4"
"书右外兵郎中","2","2","4"
"冀州镇东府长","2","2","4"
"州镇东府长史","2","2","4"
"雍州刺史萧宝","2","2","4"
"州刺史萧宝夤","2","2","4"
"尚书长孙渴侯","2","2","4"
"南部尚书陆丽","2","2","4"
"尚书左外兵郎","2","2","4"
"行台长孙承业","2","2","4"
"尚书考功郎中","2","2","4"
"豫州刺史高仲","2","2","4"
"州刺史高仲密","2","2","4"
"荥州刺史宇文","1","3","4"
"宋青州刺史沈","2","2","4"
"金墉中书外省","2","2","4"
"墉中书外省考","2","2","4"
"都督陇右诸军","2","2","4"
"督陇右诸军事","2","2","4"
"都督征蛮诸军","2","2","4"
"督征蛮诸军事","2","2","4"
"都督北讨诸军","2","2","4"
"督北讨诸军事","2","2","4"
"太尉记室参军","2","2","4"
"赠尚书左仆射","2","2","4"
"中书舍人温子","2","2","4"
"书舍人温子升","2","2","4"
"武卫将军奚毅","2","2","4"
"行台尉迟菩萨","2","2","4"
"左卫将军刘丰","2","2","4"
"卫将军刘丰等","2","2","4"
"黄门郎崔季舒","2","2","4"
"大司马斛律金","2","2","4"
"大将军斛律光","2","2","4"
"大行台都官郎","2","2","4"
"齐将斛律明月","2","2","4"
"左候卫大将军","2","2","4"
"像他说的那样","0","4","4"
"因立功被封为","0","4","4"
"晋公宇文护执","0","4","4"
"公宇文护执掌","0","4","4"
"宇文护执掌朝","0","4","4"
"听从了他的建","0","4","4"
"从了他的建议","0","4","4"
"他跟随尔朱荣","0","4","4"
"跟随孝武帝入","0","4","4"
"随孝武帝入关","0","4","4"
"马被流矢射中","0","4","4"
"向左右两边射","0","4","4"
"左右两边射箭","0","4","4"
"武帝采纳了他","0","4","4"
"晋位为大将军","0","4","4"
"尉迟迥的军队","0","4","4"
"家子弟的身份","0","4","4"
"工于骑马射箭","0","4","4"
"请求作为内应","0","4","4"
"兼尚书左仆射","0","4","4"
"文帝宇文泰的","0","4","4"
"廷下诏命他为","0","4","4"
"恢复了他的官","0","4","4"
"任内史下大夫","0","4","4"
"封为开府仪同","0","4","4"
"南陈将领吴明","0","4","4"
"陈将领吴明彻","0","4","4"
"认识他的人都","0","4","4"
"跟他开玩笑说","0","4","4"
"贺拔岳的军队","0","4","4"
"追赠他的父亲","0","4","4"
"孝闵帝即皇帝","0","4","4"
"他跟随宇文泰","0","4","4"
"立碑歌颂他的","0","4","4"
"人们都认为他","0","4","4"
"过了一个多月","0","4","4"
"廷追赠他为司","0","4","4"
"们议论起来都","0","4","4"
"西魏文帝大统","0","4","4"
"岁时死了父亲","0","4","4"
"任骠骑大将军","0","4","4"
"文帝接受禅让","0","4","4"
"知道了这件事","0","4","4"
"将军皇甫无逸","0","4","4"
"有人能和他相","0","4","4"
"人能和他相比","0","4","4"
"这是书籍的第","0","4","4"
"周武帝平定齐","0","4","4"
"任右卫大将军","0","4","4"
"任开府仪同三","0","4","4"
"隋文帝开皇初","0","4","4"
"文帝开皇初年","0","4","4"
"以行军总管之","0","4","4"
"率步兵和骑兵","0","4","4"
"听从他的建议","0","4","4"
"设置文武百官","0","4","4"
"平定陈国之战","0","4","4"
"追赠开府仪同","0","4","4"
"文帝受禅继位","0","4","4"
"文帝为丞相时","0","4","4"
"授予仪同三司","0","4","4"
"为金紫光禄大","0","4","4"
"宇文化及杀害","0","4","4"
"元颢进入洛阳","0","4","4"
"济阴王元晖业","0","4","4"
"任通直散骑常","0","4","4"
"丞相高阿那肱","0","4","4"
"多次上表请求","0","4","4"
"隋朝开皇初年","0","4","4"
"母亲杀死父亲","0","4","4"
"被任命为定州","0","4","4"
"任命为定州刺","0","4","4"
"命为定州刺史","0","4","4"
"隋文帝接受禅","0","4","4"
"孝文帝迁都洛","0","4","4"
"文帝迁都洛阳","0","4","4"
"下诏恢复他的","0","4","4"
"他为车骑大将","0","4","4"
"领护东夷校尉","0","4","4"
"自立为仇池公","0","4","4"
"使者朝见进贡","0","4","4"
"为征南大将军","0","4","4"
"十五员将出兵","0","4","4"
"阿那瞔派他的","0","4","4"
"慕容垂派儿子","0","4","4"
"诏令有关部门","0","4","4"
"年春正月初七","0","4","4"
"姚兴派使者朝","0","4","4"
"兴派使者朝贡","0","4","4"
"年春正月初二","0","4","4"
"五年春正月初","0","4","4"
"以皇后的礼节","0","4","4"
"平原王高隆之","0","4","4"
"平阳王高淹为","0","4","4"
"萧绎派使者朝","0","4","4"
"绎派使者朝贡","0","4","4"
"当时人称他为","0","4","4"
"文宣帝到晋阳","0","4","4"
"任命开府仪同","0","4","4"
"命开府仪同三","0","4","4"
"太上皇帝从晋","0","4","4"
"上皇帝从晋阳","0","4","4"
"兰陵王长恭为","0","4","4"
"任城王氵皆为","0","4","4"
"八月二十一日","0","4","4"
"不知怎么办好","0","4","4"
"侯莫陈悦的军","0","4","4"
"久又被任命为","0","4","4"
"率领精锐骑兵","0","4","4"
"献文帝即位后","0","4","4"
"孝昭帝即位后","0","4","4"
"他承袭了父亲","0","4","4"
"和南平公长孙","0","4","4"
"任命为给事黄","0","4","4"
"命为给事黄门","0","4","4"
"大逆不道的事","0","4","4"
"被任命为开府","0","4","4"
"承袭父亲的爵","0","4","4"
"被任命为冀州","0","4","4"
"任命为冀州刺","0","4","4"
"命为冀州刺史","0","4","4"
"任命为度支尚","0","4","4"
"命为度支尚书","0","4","4"
"出任兖州刺史","0","4","4"
"不久被任命为","0","4","4"
"任为度支尚书","0","4","4"
"被任命为侍中","0","4","4"
"到尔朱兆那里","0","4","4"
"安丰王元延明","0","4","4"
"州刺史的官职","0","4","4"
"又以原来的官","0","4","4"
"于烈的儿子于","0","4","4"
"表达自己的心","0","4","4"
"有父亲的风范","0","4","4"
"他过去的功勋","0","4","4"
"任国子监祭酒","0","4","4"
"朝廷下诏同意","0","4","4"
"为银青光禄大","0","4","4"
"朝廷下诏将他","0","4","4"
"被举荐为秀才","0","4","4"
"杨坚任北周的","0","4","4"
"以原来的职务","0","4","4"
"对他十分器重","0","4","4"
"将他调出京城","0","4","4"
"朝廷下诏加封","0","4","4"
"廷下诏加封他","0","4","4"
"下诏加封他为","0","4","4"
"他为给事黄门","0","4","4"
"有很高的声誉","0","4","4"
"的儿子杨玄感","0","4","4"
"声望越来越高","0","4","4"
"与元天穆一起","0","4","4"
"阳王元禧等人","0","4","4"
"距都城六里的","0","4","4"
"廷下诏命李崇","0","4","4"
"他原来的官职","0","4","4"
"兼任尚书右仆","0","4","4"
"宣武帝不同意","0","4","4"
"从小就有志气","0","4","4"
"小就有志气节","0","4","4"
"就有志气节操","0","4","4"
"被朝廷赐爵为","0","4","4"
"朝廷下诏允许","0","4","4"
"尔朱荣听说后","0","4","4"
"兼任尚书左仆","0","4","4"
"尔朱荣的妻子","0","4","4"
"恢复他原来的","0","4","4"
"复他原来的官","0","4","4"
"加封他为开府","0","4","4"
"封他为开府仪","0","4","4"
"赠他为假黄钺","0","4","4"
"的第三个儿子","0","4","4"
"跟随神武帝高","0","4","4"
"随神武帝高欢","0","4","4"
"神武帝高欢任","0","4","4"
"高欢任晋州刺","0","4","4"
"欢任晋州刺史","0","4","4"
"在战场上牺牲","0","4","4"
"魏孝静帝的禅","0","4","4"
"孝静帝的禅让","0","4","4"
"颍州长史贺若","2","1","3"
"州长史贺若统","2","1","3"
"良家子镇武川","3","0","3"
"累迁仪同三司","3","0","3"
"进车骑大将军","3","0","3"
"高仲密北豫州","3","0","3"
"行台韩长业攻","2","1","3"
"台韩长业攻陷","2","1","3"
"韩长业攻陷潞","2","1","3"
"长业攻陷潞州","2","1","3"
"御正中大夫颜","2","1","3"
"宰宇文护执政","2","1","3"
"时晋公护执政","3","0","3"
"丞相斛律明月","1","2","3"
"授内史中大夫","1","2","3"
"迁开府仪同三","3","0","3"
"卫将军皇甫逸","3","0","3"
"累迁中书舍人","2","1","3"
"右武候大将军","3","0","3"
"突厥达头汗犯","3","0","3"
"厥达头汗犯塞","3","0","3"
"晋王广镇扬州","3","0","3"
"位银青光禄大","2","1","3"
"日影一丈二尺","1","2","3"
"八月二十八日","1","2","3"
"加右光禄大夫","3","0","3"
"益州总管长史","1","2","3"
"加上仪同三司","2","1","3"
"宰宇文护引中","3","0","3"
"宇文护引中外","3","0","3"
"应州刺史唐君","2","1","3"
"州刺史唐君明","2","1","3"
"行军总管韦孝","2","1","3"
"军总管韦孝宽","2","1","3"
"郎将司马德戡","2","1","3"
"义宁二年三月","1","2","3"
"遣将军吐万绪","2","1","3"
"侍中崔光等奏","2","1","3"
"明帝服小功服","2","1","3"
"国子太学生员","2","1","3"
"迁通直散骑常","3","0","3"
"累迁尚书左丞","3","0","3"
"遣太仆卿杨义","2","1","3"
"位开府仪同三","3","0","3"
"国子祭酒何妥","1","2","3"
"虏男女数千人","1","2","3"
"公皮豹子等率","1","2","3"
"中书舍人徐纥","1","2","3"
"侍中安丰王延","2","1","3"
"中安丰王延明","2","1","3"
"事黄门侍郎元","2","1","3"
"黄门侍郎元纂","2","1","3"
"阿瑰遣吐豆登","3","0","3"
"瑰遣吐豆登郁","3","0","3"
"遣吐豆登郁久","3","0","3"
"申州刺史李惠","1","2","3"
"加征南大将军","2","1","3"
"诏南平公长孙","3","0","3"
"宋守将毛德祖","1","2","3"
"州刺史司马世","2","1","3"
"刺史司马世云","2","1","3"
"魏帝立皇太子","1","2","3"
"王萧绎遣使朝","3","0","3"
"契丹遣使朝贡","3","0","3"
"西魏恭帝元年","1","2","3"
"河东王潘相乐","2","1","3"
"湘州刺史王琳","2","1","3"
"周冢宰宇文护","2","1","3"
"元景式等二十","1","2","3"
"景式等二十五","1","2","3"
"式等二十五家","1","2","3"
