"N-gram","新唐书","新唐书翻译","Total"
"同中书门下平章","167","166","333"
"中书门下平章事","166","167","333"
"同中书门下三品","81","80","161"
"凤阁鸾台平章事","48","47","95"
"同凤阁鸾台平章","48","46","94"
"同凤阁鸾台三品","22","22","44"
"记录囚犯的罪状","0","44","44"
"讯察记录囚犯的","0","42","42"
"察记录囚犯的罪","0","42","42"
"任同中书门下平","0","37","37"
"幽州卢龙军节度","16","16","32"
"州卢龙军节度使","16","16","32"
"加同中书门下平","1","31","32"
"加同中书门下三","0","28","28"
"加同凤阁鸾台平","0","27","27"
"并加同中书门下","0","26","26"
"赐予文武官员官","0","26","26"
"予文武官员官阶","0","25","25"
"因旱灾避离正殿","0","23","23"
"山南东道节度使","10","11","21"
"宗因旱灾避离正","0","20","20"
"剑南西川节度使","9","9","18"
"州大都督府长史","9","9","18"
"在京城南郊祭天","0","18","18"
"山南西道节度使","9","8","17"
"诸道盐铁转运使","8","8","16"
"朔方道行军大总","7","8","15"
"方道行军大总管","7","8","15"
"神策军护军中尉","7","8","15"
"白天出现太白星","0","15","15"
"死罪以下囚犯减","0","14","14"
"罪以下囚犯减刑","0","14","14"
"加同凤阁鸾台三","0","13","13"
"反叛依附朱全忠","0","13","13"
"肃政台御史大夫","6","6","12"
"行营兵马副元帅","6","6","12"
"成德军节度使王","6","6","12"
"宗在太清宫举行","0","12","12"
"左肃政台御史大","5","5","10"
"剑南东川节度使","5","5","10"
"右金吾卫大将军","5","5","10"
"卢龙军节度使刘","5","5","10"
"因旱灾讯察记录","0","10","10"
"旱灾讯察记录囚","0","10","10"
"灾讯察记录囚犯","0","10","10"
"用祭品的朝献祭","0","10","10"
"一并加同中书门","0","10","10"
"享用祭品的朝献","0","9","9"
"十岁以上的老人","0","9","9"
"赐给文武官员官","0","9","9"
"并加同凤阁鸾台","0","9","9"
"对死罪以下囚犯","0","9","9"
"吐蕃军进犯灵州","0","9","9"
"在太清宫举行装","0","9","9"
"太清宫举行装扮","0","9","9"
"清宫举行装扮受","0","9","9"
"宫举行装扮受祭","0","9","9"
"举行装扮受祭者","0","9","9"
"行装扮受祭者享","0","9","9"
"装扮受祭者享用","0","9","9"
"扮受祭者享用祭","0","9","9"
"昭义军节度使李","4","4","8"
"卫大将军李多祚","4","4","8"
"平壤道行军总管","4","4","8"
"左金吾卫大将军","4","4","8"
"同紫微黄门平章","4","4","8"
"紫微黄门平章事","4","4","8"
"河东节度副大使","4","4","8"
"八十岁以上老人","0","8","8"
"高宗因旱灾避离","0","8","8"
"给文武官员官阶","0","8","8"
"以防备突厥来犯","0","8","8"
"对死罪囚犯减刑","0","8","8"
"祭品的朝献祭礼","0","8","8"
"受祭者享用祭品","0","8","8"
"祭者享用祭品的","0","8","8"
"者享用祭品的朝","0","8","8"
"五品上子父后者","7","0","7"
"子父后者勋两转","7","0","7"
"左神策军护军中","3","4","7"
"并任同中书门下","0","7","7"
"八十岁以上的老","0","7","7"
"罪以下的犯人减","0","7","7"
"以下的犯人减刑","0","7","7"
"自温泉返回京城","0","7","7"
"赐予宫廷内外官","0","7","7"
"予宫廷内外官员","0","7","7"
"辽东道行军总管","3","3","6"
"朔方军节度副大","3","3","6"
"方军节度副大使","3","3","6"
"淮南节度副大使","3","3","6"
"四面行营副都统","3","3","6"
"赠开府仪同三司","5","1","6"
"臣上尊号曰开元","6","0","6"
"大圣大安孝皇帝","4","2","6"
"陕东道大行台尚","3","3","6"
"东道大行台尚书","3","3","6"
"定襄道行军大总","3","3","6"
"襄道行军大总管","3","3","6"
"海道行军大总管","3","3","6"
"河道行军大总管","3","3","6"
"平壤道行军大总","3","3","6"
"壤道行军大总管","3","3","6"
"辽东道行军大总","3","3","6"
"东道行军大总管","3","3","6"
"丘道行军大总管","3","3","6"
"肃政台御史中丞","3","3","6"
"春官尚书武三思","3","3","6"
"益州大都督府长","3","3","6"
"河北道行军元帅","3","3","6"
"灵武道行军大总","3","3","6"
"武道行军大总管","3","3","6"
"平卢军节度使李","3","3","6"
"宣武军节度使刘","3","3","6"
"彰义军节度使吴","3","3","6"
"义军节度使吴少","3","3","6"
"昭义军节度使刘","3","3","6"
"卢龙军节度使李","3","3","6"
"左右神策军护军","3","3","6"
"右神策军护军中","3","3","6"
"平卢军节度使王","3","3","6"
"凤翔陇右节度使","3","3","6"
"保大军节度使李","3","3","6"
"在京城南郊举行","0","6","6"
"京城南郊举行祭","0","6","6"
"城南郊举行祭天","0","6","6"
"南郊举行祭天大","0","6","6"
"郊举行祭天大典","0","6","6"
"十二月二十七日","0","6","6"
"为开府仪同三司","0","6","6"
"年正月二十三日","0","6","6"
"十一月二十一日","0","6","6"
"死罪以下的犯人","0","6","6"
"年正月二十八日","0","6","6"
"以下的罪犯免刑","0","6","6"
"十二月二十四日","0","6","6"
"五品以上官员勋","0","6","6"
"任朔方道行军大","0","6","6"
"流放罪以下的犯","0","6","6"
"放罪以下的犯人","0","6","6"
"白昼出现太白星","0","6","6"
"任天下兵马元帅","0","6","6"
"驱逐其节度使李","0","6","6"
"建立纪元年号为","0","6","6"
"右羽林军大将军","3","2","5"
"左羽林卫大将军","3","2","5"
"群臣上尊号曰开","5","0","5"
"卫大将军契苾何","5","0","5"
"大将军契苾何力","5","0","5"
"品上子父后者勋","5","0","5"
"子父后者勋一转","5","0","5"
"这是不行的原因","0","5","5"
"是不行的原因之","0","5","5"
"担任同中书门下","0","5","5"
"十二月二十一日","0","5","5"
"中八十岁以上的","0","5","5"
"卫大将军契絆何","0","5","5"
"大将军契絆何力","0","5","5"
"将军契絆何力任","0","5","5"
"赐予臣民聚饮三","0","5","5"
"予臣民聚饮三日","0","5","5"
"加同东西台三品","0","5","5"
"赐许百姓聚饮三","0","5","5"
"许百姓聚饮三日","0","5","5"
"宗在京城南郊祭","0","5","5"
"门下省讯察记录","0","5","5"
"下省讯察记录囚","0","5","5"
"省讯察记录囚犯","0","5","5"
"以下的犯人免刑","0","5","5"
"玄宗自华清宫返","0","5","5"
"宗自华清宫返京","0","5","5"
"郭子仪与安庆绪","0","5","5"
"司隶大夫薛道衡","2","2","4"
"黄门侍郎褚遂良","2","2","4"
"御史大夫骞味道","3","1","4"
"卫大将军黑齿常","2","2","4"
"淮西节度使李忠","2","2","4"
"西节度使李忠臣","2","2","4"
"永平军节度使李","2","2","4"
"平军节度使李勉","2","2","4"
"南西川节度使张","2","2","4"
"西川节度使张延","2","2","4"
"川节度使张延赏","2","2","4"
"卢龙军节度使张","2","2","4"
"龙军节度使张仲","2","2","4"
"军节度使张仲武","2","2","4"
"金吾卫大将军李","2","2","4"
"忠武军节度使王","2","2","4"
"彰义军节度使张","2","2","4"
"静难军节度使李","2","2","4"
"难军节度使李思","2","2","4"
"军节度使李思谏","2","2","4"
"葱山道行军大总","2","2","4"
"山道行军大总管","2","2","4"
"积石道行军总管","2","2","4"
"丞相府司录参军","2","2","4"
"扬州大都督府长","2","2","4"
"天皇大圣大弘孝","2","2","4"
"皇大圣大弘孝皇","2","2","4"
"大圣大弘孝皇帝","2","2","4"
"羽林卫大将军李","2","2","4"
"林卫大将军李多","2","2","4"
"右羽林卫大将军","2","2","4"
"上尊号曰开元天","4","0","4"
"宝圣文神武应道","2","2","4"
"圣文神武应道皇","2","2","4"
"文神武应道皇帝","2","2","4"
"太原道行军元帅","2","2","4"
"晋州道行军总管","2","2","4"
"左武卫将军王君","2","2","4"
"益州道行台左仆","2","2","4"
"州道行台左仆射","2","2","4"
"道大行台尚书令","2","2","4"
"州道行台尚书令","2","2","4"
"御史大夫温彦博","2","2","4"
"右屯卫大将军张","2","2","4"
"赤水道行军总管","2","2","4"
"弥道行军大总管","2","2","4"
"交河道行军大总","2","2","4"
"青丘道行军大总","2","2","4"
"左骁卫大将军契","2","2","4"
"骁卫大将军契苾","4","0","4"
"文德皇后长孙氏","1","3","4"
"右骁卫大将军契","2","2","4"
"卫大将军苏定方","2","2","4"
"扶余道行军总管","2","2","4"
"逻娑道行军大总","2","2","4"
"娑道行军大总管","2","2","4"
"州道行军大总管","2","2","4"
"右武卫将军程务","2","2","4"
"武卫将军程务挺","2","2","4"
"卫大将军程务挺","2","2","4"
"燕然道行军大总","2","2","4"
"然道行军大总管","2","2","4"
"太祖孝明高皇帝","2","2","4"
"凤阁侍郎任知古","2","2","4"
"越古金轮圣神皇","2","2","4"
"古金轮圣神皇帝","2","2","4"
"政台御史大夫杨","2","2","4"
"右肃政台御史中","2","2","4"
"边道行军大总管","2","2","4"
"河北道行军副元","2","2","4"
"北道行军副元帅","2","2","4"
"河北道安抚大使","2","2","4"
"兵部尚书郭元振","2","2","4"
"持节朔方军节度","2","2","4"
"节朔方军节度大","2","2","4"
"朔方军节度大使","2","2","4"
"陇右节度副大使","2","2","4"
"陇右节度使皇甫","2","2","4"
"右节度使皇甫惟","2","2","4"
"节度使皇甫惟明","2","2","4"
"陇右节度使哥舒","2","2","4"
"右节度使哥舒翰","2","2","4"
"开元天地大宝圣","2","2","4"
"元天地大宝圣文","2","2","4"
"天地大宝圣文神","2","2","4"
"地大宝圣文神武","2","2","4"
"李光弼史思明战","4","0","4"
"乾元大圣光天文","2","2","4"
"元大圣光天文武","2","2","4"
"大圣光天文武孝","2","2","4"
"圣光天文武孝感","2","2","4"
"朔方军节度留后","2","2","4"
"山南西道副元帅","2","2","4"
"成德军节度使李","2","2","4"
"德军节度使李宝","2","2","4"
"军节度使李宝臣","2","2","4"
"诸军行营兵马副","2","2","4"
"军行营兵马副元","2","2","4"
"南西川节度使韦","2","2","4"
"西川节度使韦皋","2","2","4"
"龙军节度使刘济","2","2","4"
"军节度使吴少诚","2","2","4"
"官子父后者勋两","4","0","4"
"横海军节度使程","2","2","4"
"军中尉吐突承璀","2","2","4"
"义武军节度使张","2","2","4"
"节度使乌重胤讨","2","2","4"
"宣武军节度使韩","2","2","4"
"忠武军节度使李","2","2","4"
"武军节度使李光","2","2","4"
"军节度使李光颜","2","2","4"
"横海军节度使乌","2","2","4"
"海军节度使乌重","2","2","4"
"军节度使乌重胤","2","2","4"
"义军节度使刘悟","2","2","4"
"幽州卢龙军兵马","2","2","4"
"南西道节度使李","2","2","4"
"加开府仪同三司","4","0","4"
"德军节度使王元","2","2","4"
"军节度使王元逵","2","2","4"
"策军护军中尉马","2","2","4"
"军护军中尉马元","2","2","4"
"护军中尉马元贽","2","2","4"
"军中尉马元贽立","2","2","4"
"中尉马元贽立光","2","2","4"
"尉马元贽立光王","2","2","4"
"龙军节度使李匡","2","2","4"
"南东川节度使顾","2","2","4"
"东川节度使顾彦","2","2","4"
"义昌军节度使卢","2","2","4"
"昌军节度使卢彦","2","2","4"
"军节度使卢彦威","2","2","4"
"护国军节度使王","2","2","4"
"镇国军节度使韩","2","2","4"
"国军节度使韩建","2","2","4"
"义武军节度使王","2","2","4"
"忠国军节度使李","2","2","4"
"军节度使李继徽","2","2","4"
"武贞军节度使雷","2","2","4"
"大军节度使李茂","2","2","4"
"军节度使李茂勋","2","2","4"
"卢军节度使王师","2","2","4"
"军节度使王师范","2","2","4"
"昭宣光烈孝皇帝","2","2","4"
"赠左骁卫大将军","4","0","4"
"中书侍郎岑文本","2","2","4"
"吏部侍郎高孝基","2","2","4"
"御史大夫魏元忠","2","2","4"
"驸马都尉王同皎","1","3","4"
"高祖讯察囚犯的","0","4","4"
"祖讯察囚犯的断","0","4","4"
"讯察囚犯的断狱","0","4","4"
"察囚犯的断狱记","0","4","4"
"囚犯的断狱记录","0","4","4"
"旅行所需之物的","0","4","4"
"拘禁劳役的犯人","0","4","4"
"这是逐渐不能持","0","4","4"
"是逐渐不能持之","0","4","4"
"逐渐不能持之以","0","4","4"
"渐不能持之以恒","0","4","4"
"不能持之以恒的","0","4","4"
"能持之以恒的第","0","4","4"
"任同中书门下三","0","4","4"
"反叛依附杨行密","0","4","4"
"群臣给玄宗敬献","0","4","4"
"臣给玄宗敬献尊","0","4","4"
"给玄宗敬献尊号","0","4","4"
"玄宗敬献尊号为","0","4","4"
"宗敬献尊号为开","0","4","4"
"敬献尊号为开元","0","4","4"
"太白星行经天空","0","4","4"
"百姓中八十岁以","0","4","4"
"姓中八十岁以上","0","4","4"
"十一月二十五日","0","4","4"
"骁卫大将军契絆","0","4","4"
"十二月二十五日","0","4","4"
"对死罪以下的犯","0","4","4"
"宗自东都返回京","0","4","4"
"自东都返回京城","0","4","4"
"宗自温泉返回京","0","4","4"
"年正月二十七日","0","4","4"
"高宗自九成宫返","0","4","4"
"氏举行躬践蚕事","0","4","4"
"年正月二十一日","0","4","4"
"宫廷内外官员官","0","4","4"
"廷内外官员官阶","0","4","4"
"品以上官员勋官","0","4","4"
"赐给随行侍从官","0","4","4"
"十一月二十七日","0","4","4"
"的死罪囚犯减刑","0","4","4"
"勋官在其父之下","0","4","4"
"罪以下的犯人免","0","4","4"
"宗在鱼藻宫观看","0","4","4"
"在鱼藻宫观看舟","0","4","4"
"鱼藻宫观看舟船","0","4","4"
"藻宫观看舟船竞","0","4","4"
"宫观看舟船竞渡","0","4","4"
"放掉五坊豢养的","0","4","4"
"掉五坊豢养的鹰","0","4","4"
"史宪诚在平原与","0","4","4"
"宪诚在平原与李","0","4","4"
"诚在平原与李同","0","4","4"
"在平原与李同捷","0","4","4"
"平原与李同捷作","0","4","4"
"原与李同捷作战","0","4","4"
"二人并任同中书","0","4","4"
"人并任同中书门","0","4","4"
"州反叛依附朱全","0","4","4"
"叛变依附朱全忠","0","4","4"
"陛下在贞观初年","0","4","4"
"百户租税的实封","0","4","4"
"这是不可再留于","0","4","4"
"是不可再留于此","0","4","4"
"不可再留于此的","0","4","4"
"可再留于此的理","0","4","4"
"再留于此的理由","0","4","4"
"留于此的理由之","0","4","4"
"右武威卫大将军","1","2","3"
"将作大匠宗晋卿","1","2","3"
"检校尚书右仆射","1","2","3"
"南西道节度使严","1","2","3"
"神尧大圣大光孝","2","1","3"
"尧大圣大光孝皇","2","1","3"
"大圣大光孝皇帝","2","1","3"
"文武大圣大广孝","2","1","3"
"武大圣大广孝皇","2","1","3"
"大圣大广孝皇帝","2","1","3"
"大圣大昭孝皇帝","2","1","3"
"玄真大圣大兴孝","2","1","3"
"真大圣大兴孝皇","2","1","3"
"大圣大兴孝皇帝","2","1","3"
"开元天宝圣文神","2","1","3"
"元天宝圣文神武","2","1","3"
"德弘道大圣大安","2","1","3"
"弘道大圣大安孝","2","1","3"
"道大圣大安孝皇","2","1","3"
"德大圣大安孝皇","2","1","3"
"圣神章武孝皇帝","2","1","3"
"明成武献文睿智","2","1","3"
"成武献文睿智章","2","1","3"
"武献文睿智章仁","2","1","3"
"献文睿智章仁神","2","1","3"
"文睿智章仁神聪","2","1","3"
"睿智章仁神聪懿","2","1","3"
"智章仁神聪懿道","2","1","3"
"章仁神聪懿道大","2","1","3"
"仁神聪懿道大孝","2","1","3"
"神聪懿道大孝皇","2","1","3"
"聪懿道大孝皇帝","2","1","3"
"夏县人吕崇茂杀","1","2","3"
"赐五品上子父后","3","0","3"
"上子父后者勋一","3","0","3"
"西台侍郎上官仪","1","2","3"
"皇太子释奠国学","3","0","3"
"神兵道行军大总","1","2","3"
"兵道行军大总管","1","2","3"
"李峤同凤阁鸾台","3","0","3"
"朔方行军大总管","2","1","3"
"三品上予一子官","3","0","3"
"河西节度副大使","1","2","3"
"范阳节度副大使","2","1","3"
"太子左赞善大夫","1","2","3"
"献定国宝玉十三","1","2","3"
"同华节度使周智","1","2","3"
"华节度使周智光","1","2","3"
"群臣上尊号曰圣","3","0","3"
"赐文武官子父后","3","0","3"
"文武官子父后者","3","0","3"
"武官子父后者勋","3","0","3"
"乌重胤吴元济战","3","0","3"
"恭僖皇太后王氏","1","2","3"
"贞献皇太后萧氏","1","2","3"
"横海军节度使李","1","2","3"
"史宪诚李同捷战","3","0","3"
"宪诚李同捷战平","3","0","3"
"诚李同捷战平原","3","0","3"
"李茂贞硃全忠战","3","0","3"
"陕东道行台左仆","2","1","3"
"东道行台左仆射","2","1","3"
"幽州都督屈突仲","2","1","3"
"州都督屈突仲翔","2","1","3"
"太子左庶子分司","2","1","3"
"子左庶子分司东","2","1","3"
"左庶子分司东都","2","1","3"
"御史中丞宇文融","1","2","3"
"官同中书门下平","1","2","3"
"太宗讯察记录囚","0","3","3"
"宗讯察记录囚犯","0","3","3"
"宿之间出现彗星","0","3","3"
"五车五星之间出","0","3","3"
"车五星之间出现","0","3","3"
"星之间出现彗星","0","3","3"
"武后因旱灾讯察","0","3","3"
"后因旱灾讯察记","0","3","3"
"处以拘禁劳役的","0","3","3"
"以拘禁劳役的犯","0","3","3"
"行所需之物的各","0","3","3"
"所需之物的各县","0","3","3"
"这是逐渐不能坚","0","3","3"
"是逐渐不能坚持","0","3","3"
"逐渐不能坚持到","0","3","3"
"渐不能坚持到底","0","3","3"
"不能坚持到底的","0","3","3"
"能坚持到底的第","0","3","3"
"采纳了他的意见","0","3","3"
"任检校吏部尚书","0","3","3"
"为同中书门下三","0","3","3"
"为同中书门下平","0","3","3"
"一并任同中书门","0","3","3"
"军节度使崔胤任","0","3","3"
"献尊号为开元天","0","3","3"
"改任太子右庶子","0","3","3"
"二年正月二十三","0","3","3"
"州与刘武周交战","0","3","3"
"反叛投靠刘黑闼","0","3","3"
"判流放罪以下的","0","3","3"
"州施行部分赦免","0","3","3"
"任城郡王李道宗","0","3","3"
"年正月二十五日","0","3","3"
"赐给文武官员勋","0","3","3"
"太宗因旱灾避离","0","3","3"
"任定襄道行军大","0","3","3"
"赐许百姓聚饮五","0","3","3"
"十岁以上老人粮","0","3","3"
"岁以上老人粮食","0","3","3"
"道行军总管率军","0","3","3"
"太宗从九成宫返","0","3","3"
"八年正月二十八","0","3","3"
"死罪以下的罪犯","0","3","3"
"罪以下的罪犯减","0","3","3"
"以下的罪犯减刑","0","3","3"
"十一年正月初一","0","3","3"
"赐给高龄老人粮","0","3","3"
"给高龄老人粮食","0","3","3"
"高龄老人粮食布","0","3","3"
"龄老人粮食布帛","0","3","3"
"州的山僚人反叛","0","3","3"
"十三年正月初一","0","3","3"
"诏令五品以上官","0","3","3"
"令五品以上官员","0","3","3"
"品以上官员议政","0","3","3"
"任平壤道行军大","0","3","3"
"任辽东道行军大","0","3","3"
"高龄鳏寡老人粮","0","3","3"
"龄鳏寡老人粮食","0","3","3"
"对死罪以下的囚","0","3","3"
"死罪以下的囚犯","0","3","3"
"罪以下的囚犯减","0","3","3"
"以下的囚犯减刑","0","3","3"
"太宗亲临翠微宫","0","3","3"
"太宗谥号为文武","0","3","3"
"太子李承乾被废","0","3","3"
"给八十岁以上的","0","3","3"
"八十岁以上的平","0","3","3"
"十岁以上的平民","0","3","3"
"任开府仪同三司","0","3","3"
"流放以下的罪犯","0","3","3"
"放以下的罪犯免","0","3","3"
"使臣讯察记录囚","0","3","3"
"臣讯察记录囚犯","0","3","3"
"死罪以下犯人减","0","3","3"
"罪以下犯人减刑","0","3","3"
"级在其父以下者","0","3","3"
"以下者加勋一级","0","3","3"
"杀了被废为平民","0","3","3"
"了被废为平民的","0","3","3"
"废为平民的原皇","0","3","3"
"皇太子李弘代理","0","3","3"
"太子李弘代理国","0","3","3"
"子李弘代理国政","0","3","3"
"平民中八十岁以","0","3","3"
"民中八十岁以上","0","3","3"
"后武氏举行躬践","0","3","3"
"武氏举行躬践蚕","0","3","3"
"举行躬践蚕事的","0","3","3"
"宗自九成宫返回","0","3","3"
"自九成宫返回京","0","3","3"
"九成宫返回京城","0","3","3"
"在籍田上举行躬","0","3","3"
"对京城施行赦免","0","3","3"
"皇太子李哲代理","0","3","3"
"太子李哲代理国","0","3","3"
"子李哲代理国政","0","3","3"
"诸星间出现彗星","0","3","3"
"任单于道安抚大","0","3","3"
"单于道安抚大使","0","3","3"
"起兵讨伐武氏之","0","3","3"
"兵讨伐武氏之乱","0","3","3"
"山与吐蕃军交战","0","3","3"
"任河北道行军元","0","3","3"
"李峤加同凤阁鸾","0","3","3"
"峤加同凤阁鸾台","0","3","3"
"历二年正月初六","0","3","3"
"任灵武道行军大","0","3","3"
"在其父之下者勋","0","3","3"
"九十岁以上老人","0","3","3"
"玄宗自温泉返回","0","3","3"
"宽免流放罪以下","0","3","3"
"十二月二十八日","0","3","3"
"岁以上的贤德老","0","3","3"
"以上的贤德老人","0","3","3"
"妇人授予县君荣","0","3","3"
"人授予县君荣衔","0","3","3"
"十岁以上老人授","0","3","3"
"岁以上老人授予","0","3","3"
"禁劳役的犯人免","0","3","3"
"劳役的犯人免刑","0","3","3"
"十一月二十九日","0","3","3"
"以上官员勋官在","0","3","3"
"上官员勋官在其","0","3","3"
"官员勋官在其父","0","3","3"
"员勋官在其父之","0","3","3"
"官在其父之下者","0","3","3"
"授予贤德老人荣","0","3","3"
"对死刑囚犯减刑","0","3","3"
"叛变投降安禄山","0","3","3"
"率军讨伐安禄山","0","3","3"
"子仪与安庆绪在","0","3","3"
"驱逐了本州刺史","0","3","3"
"的一个儿子官职","0","3","3"
"西原蛮族军攻破","0","3","3"
"判流放罪以下刑","0","3","3"
"流放罪以下刑罚","0","3","3"
"放罪以下刑罚的","0","3","3"
"罪以下刑罚的犯","0","3","3"
"以下刑罚的犯人","0","3","3"
"下刑罚的犯人免","0","3","3"
"刑罚的犯人免刑","0","3","3"
"幽州卢龙军将领","0","3","3"
"十二月二十三日","0","3","3"
"汉三代王朝的后","0","3","3"
"官位在其父以下","0","3","3"
"位在其父以下者","0","3","3"
"宗灵柩前登帝位","0","3","3"
"宗开始处理政事","0","3","3"
"敬宗在鱼藻宫观","0","3","3"
"五坊豢养的鹰犬","0","3","3"
"李克用攻破潞州","0","3","3"
"昭宗封儿子李礻","0","3","3"
"为银青光禄大夫","0","3","3"
"追赠尚书右仆射","0","3","3"
"采纳了这个意见","0","3","3"
"隋炀帝大业末年","0","3","3"
"收纳三百户租税","0","3","3"
"参加明经科考试","0","3","3"
"死时年七十二岁","0","3","3"
"左翊卫将军董纯","1","1","2"
"右骁卫将军李金","1","1","2"
"骁卫将军李金才","1","1","2"
"左光禄大夫李敏","1","1","2"
"天策府司马宇文","1","1","2"
"策府司马宇文士","1","1","2"
"门侍郎褚遂良参","1","1","2"
"太子少詹事张行","1","1","2"
"子少詹事张行成","1","1","2"
"昆陵都护阿史弥","2","0","2"
"陵都护阿史弥射","2","0","2"
"驸马都尉韦正矩","1","1","2"
"左金吾卫将军庞","1","1","2"
"金吾卫将军庞同","1","1","2"
"吾卫将军庞同善","1","1","2"
"左武卫将军薛仁","1","1","2"
"武卫将军薛仁贵","1","1","2"
"左监门卫将军李","1","1","2"
"监门卫将军李谨","1","1","2"
"门卫将军李谨行","1","1","2"
"中书侍郎薛元超","1","1","2"
"太子左庶子张大","1","1","2"
"子左庶子张大安","1","1","2"
"左武卫将军黑齿","1","1","2"
"武卫将军黑齿常","1","1","2"
"河源军经略大使","1","1","2"
"政台御史大夫骞","2","0","2"
"台御史大夫骞味","2","0","2"
"凤阁舍人李景谌","1","1","2"
"鸾台侍郎韦方质","1","1","2"
"春官尚书武承嗣","1","1","2"
"秋官尚书裴居道","1","1","2"
"右肃政台御史大","1","1","2"
"政台御史大夫韦","1","1","2"
"台御史大夫韦思","1","1","2"
"御史大夫韦思谦","1","1","2"
"天官尚书韦待价","1","1","2"
"杀右武威卫大将","1","1","2"
"武威卫大将军黑","1","1","2"
"威卫大将军黑齿","1","1","2"
"右鹰扬卫将军赵","1","1","2"
"鹰扬卫将军赵怀","1","1","2"
"扬卫将军赵怀节","1","1","2"
"嗣同凤阁鸾台三","2","0","2"
"凤阁侍郎武攸宁","1","1","2"
"凤阁侍郎宗秦客","1","1","2"
"杀左卫员外大将","1","1","2"
"左卫员外大将军","1","1","2"
"卫员外大将军阿","1","1","2"
"员外大将军阿史","1","1","2"
"白润府果毅薛大","1","1","2"
